Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1684864800000,1849.80000000,1851.79000000,1844.93000000,1845.37000000,12120.06280000,1684868399999,22397663.92280100,16481,5550.56810000,10255950.76032000,0
1684868400000,1845.37000000,1852.99000000,1842.00000000,1851.52000000,10037.33070000,1684871999999,18555273.80842600,15420,5338.18750000,9866391.72633500,0
1684872000000,1851.52000000,1857.14000000,1848.50000000,1854.39000000,8377.10210000,1684875599999,15517308.45195800,17192,4674.37840000,8657767.77821400,0
1684875600000,1854.40000000,1855.73000000,1849.30000000,1849.31000000,5113.79600000,1684879199999,9475209.88571100,10329,2302.77740000,4266837.09912100,0
1684879200000,1849.31000000,1854.40000000,1846.33000000,1854.40000000,6225.11890000,1684882799999,11523744.31245000,10478,3119.10950000,5774176.49127900,0
1684882800000,1854.40000000,1856.82000000,1852.82000000,1854.05000000,5488.72480000,1684886399999,10178017.90013100,9550,2549.59140000,4727585.66121300,0
1684886400000,1854.06000000,1854.09000000,1847.31000000,1849.69000000,6820.46350000,1684889999999,12624856.27815600,12640,3086.55460000,5713827.20849500,0
1684890000000,1849.69000000,1850.96000000,1844.31000000,1845.27000000,9284.08770000,1684893599999,17154472.32042300,18066,4220.29990000,7798546.03535200,0
1684893600000,1845.27000000,1847.82000000,1844.37000000,1846.13000000,5877.72530000,1684897199999,10851955.37050100,11261,3476.19670000,6418107.74269400,0
1684897200000,1846.14000000,1846.30000000,1812.13000000,1821.95000000,47574.07720000,1684900799999,86941891.45790500,56384,22256.40570000,40653710.74105600,0
1684900800000,1821.94000000,1827.56000000,1817.54000000,1827.32000000,36418.52090000,1684904399999,66425747.13873100,30514,13116.98290000,23915622.47547300,0
1684904400000,1827.31000000,1828.66000000,1823.95000000,1826.13000000,21852.64410000,1684907999999,39912267.29985700,19890,8844.68700000,16155423.36388600,0
1684908000000,1826.13000000,1826.45000000,1817.81000000,1821.55000000,10667.58820000,1684911599999,19434369.80809500,17803,4109.07070000,7485879.73854200,0
1684911600000,1821.54000000,1823.45000000,1813.82000000,1814.07000000,13900.24880000,1684915199999,25288740.48686900,18797,6656.89910000,12111935.27899700,0
1684915200000,1814.07000000,1818.46000000,1813.35000000,1818.44000000,10860.82950000,1684918799999,19724678.20867100,16191,4530.78520000,8228083.02866400,0
1684918800000,1818.45000000,1821.15000000,1816.00000000,1817.07000000,8112.21110000,1684922399999,14754070.97320000,15102,3759.21150000,6837170.21499500,0
1684922400000,1817.06000000,1817.38000000,1813.53000000,1815.47000000,7918.08730000,1684925999999,14375894.10528900,17180,3976.69050000,7220111.64792800,0
1684926000000,1815.46000000,1817.99000000,1811.00000000,1816.01000000,11256.16960000,1684929599999,20417356.96823300,22182,5343.45430000,9693368.07399200,0
1684929600000,1816.02000000,1818.27000000,1813.33000000,1816.65000000,8174.92400000,1684933199999,14848991.94597900,17804,3252.58020000,5907902.88788600,0
1684933200000,1816.64000000,1818.13000000,1789.53000000,1803.04000000,39833.38390000,1684936799999,71844352.33945300,45025,17328.69670000,31235147.11486000,0
1684936800000,1803.04000000,1803.04000000,1777.60000000,1787.48000000,50824.04080000,1684940399999,90921806.04411300,59135,22873.09590000,40909728.61199400,0
1684940400000,1787.47000000,1795.61000000,1781.00000000,1793.35000000,38479.44000000,1684943999999,68825889.25341600,39797,19407.15670000,34716623.07644800,0
